,reviewerid,authorcomments,total_sum,title,keywords,abstract,accept
1267,9394,"In this paper, an environment monitoring systems is implemented by using various sensors. This paper can be published in this conference after the following modifications:

The title needs to be changed to reflect the research objective of this paper.
The grammatical error must be eliminated from the paper.
The abstract needs to be re-written for the clarity purpose.
 The title of Section IV should be ""the proposed algorithm"".
 Although Section IV contains a flowchart of the system, however an algorithm of the system is preferable.
",21.0,Development of observing environmental records using sensors and wireless sensor network,"Wi-Fi, IP, NodeMCU, MQ-2, DHT-11","In this paper environment monitoring systems is implemented by using sensors and then send the sensors data are sent to a local internet protocol (IP) using Wi-Fi. For enchanting data, DHT-11 (Temperature and Humidity sensor) and MQ-2 (LPG gas sensor) are being used. The basic objective of this research is to monitor, and to develop a real-time monitoring of humidity and temperature, as well as the availability of gas using the very available DHT-11 sensor, MQ-2 sensor, and ESP-8266 NodeMCU module and then observe the data from a local IP based webpage. This paper also makes a compact distinction between conventional and the local IP based observing system of an environment. The sensor's data are saved in an IP based webpage by which we can monitor the sensorâs data without any access to the internet.",1
1268,8510,"
Overall Presentation quality is very poor.
More emphasize on architecture and feature selection are required.
The authors just represent one table for the result without (even a single line) any explanation.
This work is mostly based on unpublished non-technical online resource (cited in reference).
",10.0,Type-2 Diabetes Mellitus Prediction using Artificial Neural Network and Machine Learning Techniques,"Diabetes Mellitus, Artificial Neural Network (ANN), Machine Learning, Prediction.","Although diabetes is directly not a deadly disease, many kinds of dangerous disease like heart attack, kidney failure,
myopia and so on are caused by diabetes. The ratio of suffering people from diabetes is spreading rapidly. Though there has no perpetual cure for diabetes, this disease can be maintained by proper counseling and medication. For this perception early determination is needed. Therefore, 464 patient data sample were collected from various diabetes center and preprocessed it. The data sets consist of 23 features. In order of appearance of some missing data, trimmed mean method was applied to handle those and a recursive algorithm called min-max was applied. After that, a predictive model was proposed, and the model was built by Neural Network technique using machine learning and deep learning. Different values for learning rate, thresholds and hidden layers were given and observed the outcomes. Average accuracy of all observation was approximately 99.69%.",0
1269,8796,"
The technical contribution is not enough.
What are the features and how are they selected?
No information about training and testing data. 
",20.0,Type-2 Diabetes Mellitus Prediction using Artificial Neural Network and Machine Learning Techniques,"Diabetes Mellitus, Artificial Neural Network (ANN), Machine Learning, Prediction.","Although diabetes is directly not a deadly disease, many kinds of dangerous disease like heart attack, kidney failure,
myopia and so on are caused by diabetes. The ratio of suffering people from diabetes is spreading rapidly. Though there has no perpetual cure for diabetes, this disease can be maintained by proper counseling and medication. For this perception early determination is needed. Therefore, 464 patient data sample were collected from various diabetes center and preprocessed it. The data sets consist of 23 features. In order of appearance of some missing data, trimmed mean method was applied to handle those and a recursive algorithm called min-max was applied. After that, a predictive model was proposed, and the model was built by Neural Network technique using machine learning and deep learning. Different values for learning rate, thresholds and hidden layers were given and observed the outcomes. Average accuracy of all observation was approximately 99.69%.",0
1270,8967,"The paper presents a technique for facial expression recognition with XOR operation using canny edge detection technique. I did not find any novelty in this paper.
The paper did not compare the recent research works on facial expression recognition. Also the recognition rate is not promising.",17.0,Facial Expression Recognition in Psychological Tests Using Canny Edge Detection,"Emotional status, Facial expression, Expression features, Canny edge detection","Face is the most important and visible part of human body. Human face expresses the internal emotional feelings such as Angry, Disturbed, Curiosity, Happy and Surprised in their face. It has some limitations in recognition process like viewing angle variation, vials, sunglass, hats etc. Most of the biometrics systems use sequential component analysis. This paper presents a developed technique for facial expression recognition with XOR operation using canny edge detection technique. The CASIA face dataset is used for facial expression recognition and we have obtained about 85% accuracy rate which is better than some other methods such as Euclidean, Hamming and Guassian methods.",0
1272,9309,"Comments:

References are not good enough to be a good paper and very old references are cited
Figure 1 is not well presented
No output images for facial expression
Why canny edge detection? No clarification is given
after edge detection how you detect ( Angry, Disturbed, Curiosity, Happy and Surprised ) is not clearly described
",16.0,Facial Expression Recognition in Psychological Tests Using Canny Edge Detection,"Emotional status, Facial expression, Expression features, Canny edge detection","Face is the most important and visible part of human body. Human face expresses the internal emotional feelings such as Angry, Disturbed, Curiosity, Happy and Surprised in their face. It has some limitations in recognition process like viewing angle variation, vials, sunglass, hats etc. Most of the biometrics systems use sequential component analysis. This paper presents a developed technique for facial expression recognition with XOR operation using canny edge detection technique. The CASIA face dataset is used for facial expression recognition and we have obtained about 85% accuracy rate which is better than some other methods such as Euclidean, Hamming and Guassian methods.",0
1273,8958,"Comments

This work is a project development rather than a research paper. There is no new idea and nobility.
The result shown here is not enough to prove that the system will work in real environment.
More technical details such as, the concept of artificial intelligence should emphasis.
",11.0,Towards Developing an Intelligent Automated Water Pumping System for Dhaka City,"Artificial intelligence, water pump, water supply management, intelligent system","Cities where water supply system follows trivial analog system like Dhaka city, 24-hour monitoring is required so that water pump can be started immediately when water is available in the main water supply line. This paper proposes a system with automated switching of the pumps based on the availability and amount of water in the main water supply line and water reserve. To make this system operational, a program is coded into a hardware model. The artificial intelligence concept is adopted here to control the pumps automatically.The system would facilitate to minimize the wastage of time, money, labor and water loss. A high fidelity prototype has been presented to describe the whole system. An evaluation study was also conducted to assess the availability and reliability of the system. The evaluation results showed that the proposed system is reliable, available and cost-effective.",0
1274,9490,"1.The artificial intelligence concept has not been found throughout your work.
2. How can you claim that your proposed model is cost effective. 
3.If you implement this prototype on any real modeled for example in any specific area or for any building then based on this result you  can claim that your work is reliable.
3.As you have worked with a big problem of a city so you need to provide more evidence on the result section that the readers can evaluate your contribution.
4. In general, you just update the concept of water level monitoring system in your work",16.0,Towards Developing an Intelligent Automated Water Pumping System for Dhaka City,"Artificial intelligence, water pump, water supply management, intelligent system","Cities where water supply system follows trivial analog system like Dhaka city, 24-hour monitoring is required so that water pump can be started immediately when water is available in the main water supply line. This paper proposes a system with automated switching of the pumps based on the availability and amount of water in the main water supply line and water reserve. To make this system operational, a program is coded into a hardware model. The artificial intelligence concept is adopted here to control the pumps automatically.The system would facilitate to minimize the wastage of time, money, labor and water loss. A high fidelity prototype has been presented to describe the whole system. An evaluation study was also conducted to assess the availability and reliability of the system. The evaluation results showed that the proposed system is reliable, available and cost-effective.",0
1277,9022,The author proposed a theoretical model for energy optiozation. The article contains insufficient information regarding the efficiency of their model. All the Tables and Figures are not clear.,17.0,Energy Optimization in Big Data,"Big Data, Social Networks, Enegry Optimization","The features of those who are related to or associated with each person affect activity-travel conduct. That influence is particularly associated with social and outdoor recreation, which tend to be increasingly essential. Collecting top quality data through those internet sites is very hard using conventional travel studies because participants are requested about their own general interpersonal life, which is most demanding to consider that particular fact. You will find different potential causes of transport information, which is seen as a large amount of info available, the velocity by using it is acquired and all of the formats by which it is offered. This kind of information is often called Big Information. To make use of this data upon transport preparing application is really a challenge, which requires using complex information mining methods.",0
1279,9393,"The author proposed a theoretical model of energy optimization for big data. The abstract doesn’t contain a problem statement and proposed solution clearly. The coherence of the paper is not proper and reading the paper doesn’t make proper sense. It feels jumping from concept to concept and figures presented should be more clear. Although this paper proposed theoretical concepts, some sort of implementation or simulation is required to prove the concept.",13.0,Energy Optimization in Big Data,"Big Data, Social Networks, Enegry Optimization","The features of those who are related to or associated with each person affect activity-travel conduct. That influence is particularly associated with social and outdoor recreation, which tend to be increasingly essential. Collecting top quality data through those internet sites is very hard using conventional travel studies because participants are requested about their own general interpersonal life, which is most demanding to consider that particular fact. You will find different potential causes of transport information, which is seen as a large amount of info available, the velocity by using it is acquired and all of the formats by which it is offered. This kind of information is often called Big Information. To make use of this data upon transport preparing application is really a challenge, which requires using complex information mining methods.",0
1280,8533,"1.Made the equation very complicated.You should solve the equation step by step for easy understanding.
2.There is comparison of graphical representation but should describe in short with a table.",24.0,Performance Comparison of SMDG and DMDG XOI FET: An Analytical Study,"III-V on insulator FETs; 2D Poisson equation; Short channel effects; Surface Potential, DMDG and SMDG structures","In this paper, the performance of dual material double-gate (DMDG) III-V-on-insulator field effect transistor (XOI FET) is studied using an analytical compact model developed by solving 2D Poisson equation. Based on the model, the surface potential, electric field, threshold voltage, DIBL, and drain current profile are estimated for DMDG structure and compared with that of single material double-gate (SMDG) structure. The steeper change in surface potential profile at the gate materials interface demonstrates better suppression of short channel effects in case of DMDG structure than SMDG structure. The reduction of peak electric field as a function of gate materials work function difference indicates that the impact of hot electron effects can be controlled for DMDG structure with respect to SMDG structure. The results of threshold voltage, DIBL, and drain current also suggest that the DMDG device structure outperforms compared to conventional SMDG device structure.",1
1281,8653,"
Sequence of reference citation is not correct (i.e. citation of Ref [5] appeared after Ref. [11] and Ref. [14] appeared before Ref. [12]). Also, the author format of Ref. [1] and Ref. [9] are not correct.
DIBL should be abbreviated in its first appearance.
Y-axis unit of Fig. 4 should be mV/cm not MV/cm. MV stands for Mega Volt.
",22.0,Performance Comparison of SMDG and DMDG XOI FET: An Analytical Study,"III-V on insulator FETs; 2D Poisson equation; Short channel effects; Surface Potential, DMDG and SMDG structures","In this paper, the performance of dual material double-gate (DMDG) III-V-on-insulator field effect transistor (XOI FET) is studied using an analytical compact model developed by solving 2D Poisson equation. Based on the model, the surface potential, electric field, threshold voltage, DIBL, and drain current profile are estimated for DMDG structure and compared with that of single material double-gate (SMDG) structure. The steeper change in surface potential profile at the gate materials interface demonstrates better suppression of short channel effects in case of DMDG structure than SMDG structure. The reduction of peak electric field as a function of gate materials work function difference indicates that the impact of hot electron effects can be controlled for DMDG structure with respect to SMDG structure. The results of threshold voltage, DIBL, and drain current also suggest that the DMDG device structure outperforms compared to conventional SMDG device structure.",1
1283,8972,The proposed framework is based on the development of a central server and a website. This framework is used to achieve a supervisory control for smart home. A microcontroller is used as base station for processing of all the functionality of the system integrated system. This control approach can send and receive data and instructions from environment and from the end user. The work has presented well. Authors are advised to explain the FL clearly and include some results in terms of accuracy. Add future works in the conclusion section.,21.0,A Supervisory Control of Home Appliances using Internet of Things,"Internet-of-Things, smart home, web server, fuzzy controller","The development of global networking system and intelligent technology have a great impact on smart devices. With the continuing and enormous development of internet, the network enabled smart devices for the development of home automation has been growing fast. Moreover, these smart devices are integrated in such a way that they can sense, monitor and control smart environment phenomena. This paper represents an integrated framework is designed and implemented for this purpose. The proposed framework is based on the development of a central server and a website. This framework is used to achieve a supervisory control for smart home. A microcontroller is used as base station for processing of all the functionality of the system integrated system. This control approach can send and receive data and instructions from environment and from the end user. Also, for the monitoring of comfortable room temperature a Fuzzy logic based intelligent decision-making algorithm is developed and implemented.",1
1284,9250,"This paper presents framework of IoT system for smaart house.The framework enable to control home appliances based on knowledge-based decision system.There are some notation mistakes; p. 1, right, l. 1 : sei-autonomous -> semi-autonomous ? p. 2, right, l. 1 : cab -> can ?",15.0,A Supervisory Control of Home Appliances using Internet of Things,"Internet-of-Things, smart home, web server, fuzzy controller","The development of global networking system and intelligent technology have a great impact on smart devices. With the continuing and enormous development of internet, the network enabled smart devices for the development of home automation has been growing fast. Moreover, these smart devices are integrated in such a way that they can sense, monitor and control smart environment phenomena. This paper represents an integrated framework is designed and implemented for this purpose. The proposed framework is based on the development of a central server and a website. This framework is used to achieve a supervisory control for smart home. A microcontroller is used as base station for processing of all the functionality of the system integrated system. This control approach can send and receive data and instructions from environment and from the end user. Also, for the monitoring of comfortable room temperature a Fuzzy logic based intelligent decision-making algorithm is developed and implemented.",1
1285,8977,"ECCE 2019 is following double-blind peer review process, I m wondering why authors included their information. Moreover, Lots of weakness are found:

Motivation is not clear
Methodlogy is not explained properly
What is input cancer image and how it is detected, no images, explanation
Experimental reults are not available
References are not formatted to IEEE style
",15.0,Heterogeneous Techniques for Identification of  Lung Cancer,"Graph Cut, Random Walker, Grow Cut, Fuzzy C-Means, K-Means, Deep Belief Network, Convolutional Neural Network","Lung cancer is one of the major health issues for both developed and developing countries. In the year 2000, more than one million lung   cancer deaths have been reported worldwide. It has been also estimated that death for lung cancer will reach around 10 million in the year 2030. Different classifiers, segmentation techniques and features used in different research paper for identifying the lung cancer are presented in this paper. Mathematical analyses for detecting lung cancer using different techniques are also discussed in this paper.",0
1286,8825,"
The idea of this paper is good based on sensors to determine indoor environmental condition.
THE ABSTRACT should be precise and short also.
The KEYWORDS MUST BE INFLUENTIAL.
In the Introduction part, the author should address the introducing the research, literature review, problem statement and then the key factors of this research work properly.
The literature review part must be merged into the introduction part with modification (Several concepts in one paragraph: strictly avoid one concept in one paragraph).
Fig. 1, 2 and 3 should be modified (Enlarge, Visible, and Redraw Fig. 3).
Performance Evaluation part should be an elaborate form with details analysis (Table and figure must be explained).
The comparative study not only based on features but also in terms of performance as well as cost effectiveness.
Conclusion part should be precise with the concluding remark of the contribution, not discussion.
Please correct the spelling of “REFERENCE” and strictly follow the template for reference section.
The author must careful about SPACING PROBLEM, FORMATTING AS WELL AS GRAMMATICAL MISTAKES.
THE AUTHOR MUST CONTACT WITH TEACHER/SUPERVISOR/EXPERT IMMEDIATELY TO MODIFY THIS PROJECT BASED RESEARCH WORK.
",18.0,Design and Implementation of IoT and WSN Based Indoor Environmental Monitoring System Using Multiple Sensor Data Acquisition,"temperature, barometric pressure, humidity, luminance, gas concentration, WSN, AES algorithm, IoT, RSSI,","Indoor environment condition monitoring is more
focused in recent years and ubiquitous computing is surrounding
us with a convenient and comfortable information environment
that is combining physical and computational infrastructures
into an integrated environment. This environment is featuring an
explosion of hundreds or thousands of computing devices and
sensors that provide new functionality, offer specialized services,
and boost productivity. But for different situation and different
infrastructure, environment condition monitoring parameter
varies remarkably. In case of systems that were developed
previously, three to four environmental parameters are analyzed
and data is not available on remote device. The observation of
sequential change in monitoring parameters is also important for
many applications. In this paper, five independent parameters
i.e. temperature, barometric pressure, humidity, luminance and
gas concentration are measured independently in each WSN
node. The data is encrypted via AES algorithm in router side and
decrypted in coordinator side. After the data is received by
coordinator node of WSN and send to IoT server where the real
time data is plotted with respect to time. The data can be
monitored for analysis from remote android device since
dedicated android application is developed for this. The WSN
data transfer efficiency is measured with respect to Received
Signal Strength Inensity(RSSI). Even though the power
consumption of Zigbee is about 2mW, at 600m distance the value
of RSSI is found -69.17dBm.",0
1287,8961,"01. Author should be included power analysis of the system components.
02. Need to incorporate quantitative analysis of the electrical parameters of the system.",20.0,Design and Implementation of IoT and WSN Based Indoor Environmental Monitoring System Using Multiple Sensor Data Acquisition,"temperature, barometric pressure, humidity, luminance, gas concentration, WSN, AES algorithm, IoT, RSSI,","Indoor environment condition monitoring is more
focused in recent years and ubiquitous computing is surrounding
us with a convenient and comfortable information environment
that is combining physical and computational infrastructures
into an integrated environment. This environment is featuring an
explosion of hundreds or thousands of computing devices and
sensors that provide new functionality, offer specialized services,
and boost productivity. But for different situation and different
infrastructure, environment condition monitoring parameter
varies remarkably. In case of systems that were developed
previously, three to four environmental parameters are analyzed
and data is not available on remote device. The observation of
sequential change in monitoring parameters is also important for
many applications. In this paper, five independent parameters
i.e. temperature, barometric pressure, humidity, luminance and
gas concentration are measured independently in each WSN
node. The data is encrypted via AES algorithm in router side and
decrypted in coordinator side. After the data is received by
coordinator node of WSN and send to IoT server where the real
time data is plotted with respect to time. The data can be
monitored for analysis from remote android device since
dedicated android application is developed for this. The WSN
data transfer efficiency is measured with respect to Received
Signal Strength Inensity(RSSI). Even though the power
consumption of Zigbee is about 2mW, at 600m distance the value
of RSSI is found -69.17dBm.",0
1289,8739,"There are many problems with this paper.
1) IEEE format is not maintained properly. Specially referencing format and not properly cited.
2) Very less literature review is done. Author should add more references.
3) Very less Technical details.  No design modification is done to optimize the system. 
Moreover, author just described different Power System scheme and compared them. There is very less novelty here. ",16.0,Modelling and Optimization of Hybrid Power System At Coastal Area,"Homer, Solar PV, Wind, Diesel Generator, Hybrid System","As a developing country, Bangladesh is badly in  
need to get their power distribution to all sections of people.  
However, the amount of fossil fuel is decreasing gradually and  
in near future, it will be a burning question that how it could  
be possible to generate energy without this fuel. On the other  
hand, energy generation through fossil fuel is much more  
costly and environmentally harmful for such type of situation.  
In this study, we choose the most renowned heritage place in  
Bangladesh named Saint Martin Island. In this island, people  
are isolated from the main land of Bangladesh and also from  
the energy sector. It is literally impossible to get connected  
with national grid because of inconvenient placement of Saint  
Martin. Two renewable sources have been considered for this  
study- PV and Wind. For study and design the model HOMER  
software has been used. This hybrid power system solution  
can provide least cost and no harmful element for the  
environment. Resulted COE ($0.227/kWh) has been found  
through this system. Also on the basis of results, it has been  
proved that renewable energy perhaps replaces the  
conventional energy and would be a feasible solution for the  
generation of electric power at remote locations with a  
reasonable investment.",1
1290,9379,"Dear Authors,
Your paper is on: Modelling and Optimization of Hybrid Power System At Coastal Area.
The paper is well written. But the references are not sufficient. Therefore, add five (05) latest references, relevant to this work.
And redraw the figure 12 and 13 with increased font size.  
Thank you.",24.0,Modelling and Optimization of Hybrid Power System At Coastal Area,"Homer, Solar PV, Wind, Diesel Generator, Hybrid System","As a developing country, Bangladesh is badly in  
need to get their power distribution to all sections of people.  
However, the amount of fossil fuel is decreasing gradually and  
in near future, it will be a burning question that how it could  
be possible to generate energy without this fuel. On the other  
hand, energy generation through fossil fuel is much more  
costly and environmentally harmful for such type of situation.  
In this study, we choose the most renowned heritage place in  
Bangladesh named Saint Martin Island. In this island, people  
are isolated from the main land of Bangladesh and also from  
the energy sector. It is literally impossible to get connected  
with national grid because of inconvenient placement of Saint  
Martin. Two renewable sources have been considered for this  
study- PV and Wind. For study and design the model HOMER  
software has been used. This hybrid power system solution  
can provide least cost and no harmful element for the  
environment. Resulted COE ($0.227/kWh) has been found  
through this system. Also on the basis of results, it has been  
proved that renewable energy perhaps replaces the  
conventional energy and would be a feasible solution for the  
generation of electric power at remote locations with a  
reasonable investment.",1
1291,9399,0,19.0,Modelling and Optimization of Hybrid Power System At Coastal Area,"Homer, Solar PV, Wind, Diesel Generator, Hybrid System","As a developing country, Bangladesh is badly in  
need to get their power distribution to all sections of people.  
However, the amount of fossil fuel is decreasing gradually and  
in near future, it will be a burning question that how it could  
be possible to generate energy without this fuel. On the other  
hand, energy generation through fossil fuel is much more  
costly and environmentally harmful for such type of situation.  
In this study, we choose the most renowned heritage place in  
Bangladesh named Saint Martin Island. In this island, people  
are isolated from the main land of Bangladesh and also from  
the energy sector. It is literally impossible to get connected  
with national grid because of inconvenient placement of Saint  
Martin. Two renewable sources have been considered for this  
study- PV and Wind. For study and design the model HOMER  
software has been used. This hybrid power system solution  
can provide least cost and no harmful element for the  
environment. Resulted COE ($0.227/kWh) has been found  
through this system. Also on the basis of results, it has been  
proved that renewable energy perhaps replaces the  
conventional energy and would be a feasible solution for the  
generation of electric power at remote locations with a  
reasonable investment.",1
1296,8739,"The paper is some how technically sound but more technical details like circuits from MATLAB Simulink should be added. More designing part should be added. ""How the system is more efficent?"" should be mentioned. 
Moreover, there are many major mistakes. there are no details for tables. there is a major problem with the format. Try to follow the IEEE format. 1st paragraph of introduction needs references and the references are not in sequence. There are also many grammatical mistakes. ""Kw"" is used in this paper, it should be ""kW"". Better quality figures should be added. The referencing format should be revised. ",15.0,"Design and Simulation of a Smart Solar Grid System For Leading University, Bangladesh","Electrical Drawing by AutoCAD, Load Analysis, PV Module Specification, Simulation Design and Cost Analysis.","This research paper deals with the design and simulation of a cost effective, facile and robust smart photovoltaic system for Leading University Campus, Sylhet, Bangladesh. All Electrical loads had been calculated from electrical lay-out design done using AutoCAD and selected essential loads which have required redundancy of whole electrical system. Different parameters for constructing PV system have been analyzed and cost effective grid system simulation had been proposed for this smart photovoltaic system. The simulation was done on MATLAB SIMULINK which ensured the frequency and phase of output AC signal also synchronized with the grid. We also prepared a comparative cost analysis between the conventional system and proposed system.",0
1297,8825,"The dearth of detailed analysis, significant grammatical mistakes, poor formatting and referencing, and lack of citing the contribution of previous work is observed in this work.
In addition, the similarity content in this paper is significantly high with previous work in the different heading. The author must check the paper before submission.",10.0,"Design and Simulation of a Smart Solar Grid System For Leading University, Bangladesh","Electrical Drawing by AutoCAD, Load Analysis, PV Module Specification, Simulation Design and Cost Analysis.","This research paper deals with the design and simulation of a cost effective, facile and robust smart photovoltaic system for Leading University Campus, Sylhet, Bangladesh. All Electrical loads had been calculated from electrical lay-out design done using AutoCAD and selected essential loads which have required redundancy of whole electrical system. Different parameters for constructing PV system have been analyzed and cost effective grid system simulation had been proposed for this smart photovoltaic system. The simulation was done on MATLAB SIMULINK which ensured the frequency and phase of output AC signal also synchronized with the grid. We also prepared a comparative cost analysis between the conventional system and proposed system.",0
1300,8990,"
Structural / Semantics of Language:

Pg1, col1, line6 (Abstract): Enhancement of speech signals is a daunting task…… while denoising speech signals.
Pg1, col1, line30 (Introduction): Different forms of noises …….hamper the quality of speech in the noisy speech signals.
Pg2, col1, line6 (Introduction): Section II describes necessary preliminaries items for understanding the …..


Pg4, col1, line4 (Dataset preparation): Among the noises, 18 types of noises ….. randomly chosen to add to each utterance noisy.
Missing Punctuation:

pg2, col1, line5 (introduction): missing stop (.) sign at the end of sentence.
Pg4, col1, line31 (CDAE Structure): Another convolution… layer sandwich, which is called Encoder 2 in Fig. 3(b), is put together…..


Pg2, col1 (Preliminaries): Figure 1, if not authors’ own, should contain reference.
Pg4, col1 (Dataset preparation): please enlist the 18 types of noises used for this research in the table.
Pg4, col1 (MFCC Feature Extraction): Please provide a list of MFCC features used in a table.
Pg4, col1 (Evaluation Criteria): Two types of measures are considered in this study….

The paper does not present any result for performance evaluation using SSIM.


Pg4, col2 (Results and Discussions):

Please provide the version / release number of Keras and Tensorflow used.
Please provide the operating system of the test platform.


Pg5, col1 (Result and Discussions): Referring to Fig. 5

Please provide details of the experimental procedure used to find the PESQ score of the proposed system.
Line 5: On the other hand, performance of CNN is closer to RNN. Fig 5 shows otherwise - score of CNN is closer to FNN (0.02) than to RNN (0.03).
Interpretation of the PESQ values / scores obtained in Fig 5 need to be more detailed ( benchmark them again MOS scale for PESQ). Many recent systems have achieved much higher PESQ results ranging from 2.5 to above 3.0 for similar applications.


The reviewer strongly believes inclusion of Signal-to-Noise Ratio (SNR) of the input signals would significantly influence the results of this particular application in terms of their PESQ score. But this research missed to include the parameter.
",19.0,Speech Enhancement Using Convolutional Denoising Autoencoder,"Speech Enhancement, Speech Cleaning, MFCC, Convolutional Denoising Autoencode, Clean Audio","Speech signals are complex in nature with respect to other forms of communication media such as text or image. Different forms of noises (e.g., additive noise, channel noise, babble noise) interfere with the speech signals and drastically hamper the quality of the speech in the noisy speech signals. Enhancement of speech signals is a daunting task considering multiple forms of noises while denoising a speech signal. Certain analog noise eliminator models have been studied over the years for this purpose. Researchers have also delved into some deep learning techniques to enhance speech signals. In this study, a speech enhancement system is investigated using Convolutional Denoising Autoencoder (CDAE). It takes advantages from the 2D structured inputs of the features extracted from speech signals and also considers the local temporal relationship among the features. In the proposed system, CDAE is trained considering features from noisy speech signal as input and clean speech features as desired output. The proposed CDAE based method has been tested on a benchmark dataset, called Speech Command Dataset, and attained 80% similarity between denoised speech and actual clean speech. The proposed system achieved perceptual evaluation of speech quality (PESQ) value of 2.43 which outperformed other related existing methods.",1
1301,9361,The authors presented a Convolutional Denoising Autoencoder (CDAE) based approach for speech enhancement demonstrated its performance with some early results. This is a well-written paper and recommended for acceptance.,22.0,Speech Enhancement Using Convolutional Denoising Autoencoder,"Speech Enhancement, Speech Cleaning, MFCC, Convolutional Denoising Autoencode, Clean Audio","Speech signals are complex in nature with respect to other forms of communication media such as text or image. Different forms of noises (e.g., additive noise, channel noise, babble noise) interfere with the speech signals and drastically hamper the quality of the speech in the noisy speech signals. Enhancement of speech signals is a daunting task considering multiple forms of noises while denoising a speech signal. Certain analog noise eliminator models have been studied over the years for this purpose. Researchers have also delved into some deep learning techniques to enhance speech signals. In this study, a speech enhancement system is investigated using Convolutional Denoising Autoencoder (CDAE). It takes advantages from the 2D structured inputs of the features extracted from speech signals and also considers the local temporal relationship among the features. In the proposed system, CDAE is trained considering features from noisy speech signal as input and clean speech features as desired output. The proposed CDAE based method has been tested on a benchmark dataset, called Speech Command Dataset, and attained 80% similarity between denoised speech and actual clean speech. The proposed system achieved perceptual evaluation of speech quality (PESQ) value of 2.43 which outperformed other related existing methods.",1
1302,9428,"This paper introduces a Convolutional Denoising Autoencoder (CDAE) based approach for speech enhancement.  The proposed speech enhancement system achieved 80% similarity along with 2.43 PESQ value which is far better than available prominent systems.
Good work.",28.0,Speech Enhancement Using Convolutional Denoising Autoencoder,"Speech Enhancement, Speech Cleaning, MFCC, Convolutional Denoising Autoencode, Clean Audio","Speech signals are complex in nature with respect to other forms of communication media such as text or image. Different forms of noises (e.g., additive noise, channel noise, babble noise) interfere with the speech signals and drastically hamper the quality of the speech in the noisy speech signals. Enhancement of speech signals is a daunting task considering multiple forms of noises while denoising a speech signal. Certain analog noise eliminator models have been studied over the years for this purpose. Researchers have also delved into some deep learning techniques to enhance speech signals. In this study, a speech enhancement system is investigated using Convolutional Denoising Autoencoder (CDAE). It takes advantages from the 2D structured inputs of the features extracted from speech signals and also considers the local temporal relationship among the features. In the proposed system, CDAE is trained considering features from noisy speech signal as input and clean speech features as desired output. The proposed CDAE based method has been tested on a benchmark dataset, called Speech Command Dataset, and attained 80% similarity between denoised speech and actual clean speech. The proposed system achieved perceptual evaluation of speech quality (PESQ) value of 2.43 which outperformed other related existing methods.",1
1303,9052,Improve English,20.0,WSN System for Industrial Environment in the Context of Industry 4.0,"wsn, industry 4.0, iot, web application, wsn platform etc","The inconceivably increasing trend of Internet of Things (IoT) and its domain in the Industrial field is leading towards the Industrial 4th revolution. 4th industrial revolution or simply said as Industry 4.0 requires the collaboration of all kinds of equipment. Environmental parameters monitoring and controlling have a major impact towards the journey of Industry 4.0. WSN is a potential technology of all IoT domains. It can be used widely in all aspects of environmental monitoring as a reliable, robust and autonomous platform of data acquisition and distribution. In this paper, we propose a design of a low cost system which assists in data collection from the ambience and distribution to any corner of the world using WSN technology. A portion of this paper introduces the controlling features of various appliances used in industrial field. Web application platform is used as Human-Machine interaction interface in this system. This proposed system is expected to be an accelerator in order for implementing Industry 4.0.",0
1305,9253,0,17.0,WSN System for Industrial Environment in the Context of Industry 4.0,"wsn, industry 4.0, iot, web application, wsn platform etc","The inconceivably increasing trend of Internet of Things (IoT) and its domain in the Industrial field is leading towards the Industrial 4th revolution. 4th industrial revolution or simply said as Industry 4.0 requires the collaboration of all kinds of equipment. Environmental parameters monitoring and controlling have a major impact towards the journey of Industry 4.0. WSN is a potential technology of all IoT domains. It can be used widely in all aspects of environmental monitoring as a reliable, robust and autonomous platform of data acquisition and distribution. In this paper, we propose a design of a low cost system which assists in data collection from the ambience and distribution to any corner of the world using WSN technology. A portion of this paper introduces the controlling features of various appliances used in industrial field. Web application platform is used as Human-Machine interaction interface in this system. This proposed system is expected to be an accelerator in order for implementing Industry 4.0.",0
1309,8178,"This paper implements an AC-DC converter using the modified Vienna rectifier of a wind-power conversion system. However,  detailed discussion on wind power conversion was left. Remarkable advancement is absent and lack of sufficient references along the line. The literature review is very poor. Need novelty of this research. Authors are invited to communicate with following work to get a better idea about in-dept analysis.
Design and Evaluation of the Vienna Rectifier for a 5MW Wind Turbine System
 ",13.0,Power Factor Correction for Wind Power Generation Systems using Modified Vienna Rectifier,"Wind Turbine, PMSG, modified Vienna rectifier, Inverter, Power factor, THD","In current years, wind power generation technologies have turn one of the peak fields of eagerness for electricity cropping in the advanced power electronics field. The main attention of this research is to implement an AC-DC converter using modified Vienna rectifier of a wind-power conversion system and to build an interconnection between a 3-phase wind generator that operates at changeable wind speed and a constant DC voltage. The inter-connection is needed to confirm higher efficiency by minimizing losses and keeping the DC constant as well. This paper presents the design of a modified Vienna rectifier which can be developed wind power transformation for raised changeable-speed. This article discusses a very light control system for proposed Vienna rectifier that is built to rein the boost type DC voltage and nearly genuine sinusoidal line current to earn unity power factor. The proposed system gives an enhanced power factor of about 0.982 with lower line current total harmonic distortions (THDs) of about 7.9%.",0
